,Open,High,Low,Close
2025-01-01,209.3195802003061,211.6429041809905,207.66703734905673,209.79619232323918
2025-01-02,209.79619232323918,211.33078904121567,204.98145755582337,205.958544541906
2025-01-03,205.958544541906,207.38465937606762,202.9636717592674,204.43950608790394
2025-01-04,204.43950608790394,205.9165901523876,201.7880961429261,203.2560863353349
2025-01-05,203.2560863353349,204.8927574156751,199.9958135234564,201.14508035225268
2025-01-06,201.14508035225268,201.90402791292055,195.89664704270717,197.59344435122432
2025-01-07,197.59344435122432,199.26706553597612,196.82163603492293,196.97168013271423
2025-01-08,196.97168013271423,198.14090133421269,195.49873945316244,196.13146708617356
2025-01-09,196.13146708617356,196.3052358498389,190.15387117934048,190.86812515452033
2025-01-10,190.86812515452033,192.02483024186543,187.589704072097,189.2957391483425
2025-01-11,189.2957391483425,191.085097021002,187.6736857413267,188.38411495643254
2025-01-12,188.38411495643254,190.71000225439784,187.35061279621593,189.74585092809488
2025-01-13,189.74585092809488,190.95524758250957,188.08892123666854,190.02097516741213
2025-01-14,190.02097516741213,194.64149010571512,189.9836105676016,193.430105461218
2025-01-15,193.430105461218,193.46664525419155,192.71337571847803,193.1971729191633
2025-01-16,193.1971729191633,196.19601252487186,193.04165300423875,194.3159273952468
2025-01-17,194.3159273952468,197.1790302094502,193.16721915906655,196.25306200504286
2025-01-18,196.25306200504286,200.19638734941816,196.07822118074856,198.97073042019687
2025-01-19,198.97073042019687,200.2755281566021,196.31014565702563,197.8251919072716
2025-01-20,197.8251919072716,198.0573826821413,197.62258175671457,197.68781950404738
2025-01-21,197.68781950404738,201.11912990197547,196.38405112739196,200.83739445175053
2025-01-22,200.83739445175053,202.44955805386974,195.1632760837755,196.88559140404865
2025-01-23,196.88559140404865,197.50385682911303,195.89286430633203,196.51089589156228
2025-01-24,196.51089589156228,198.01049792538765,194.17711998785768,194.5360352144923
2025-01-25,194.5360352144923,195.03004003447376,193.22499031614927,193.824325553966
2025-01-26,193.824325553966,194.32060639312496,192.6121562854591,194.05570185494273
2025-01-27,194.05570185494273,195.36389424605053,190.58083958127406,191.37334253438192
2025-01-28,191.37334253438192,192.8919441712475,189.90287192909145,191.12071595833117
2025-01-29,191.12071595833117,191.41659253596742,188.6747578564675,190.3407879731192
2025-01-30,190.3407879731192,190.75317465103012,187.15723619198064,188.73082724027657
2025-01-31,188.73082724027657,190.14188360680285,188.39712292199806,188.74159463156744
2025-02-01,188.74159463156744,192.9215677795319,187.91597576618148,192.18095082547035
2025-02-02,192.18095082547035,196.3796337401309,190.5701391281226,195.79267719507928
2025-02-03,195.79267719507928,198.49145701170775,194.2228193827372,198.24675908229352
2025-02-04,198.24675908229352,203.89564124196414,198.12463685620625,202.55051187594339
2025-02-05,202.55051187594339,208.27329720371452,201.157631760954,206.4291752517161
2025-02-06,206.4291752517161,209.77590923520333,204.5917327358625,209.62329421856526
2025-02-07,209.62329421856526,213.01130204988496,207.8406027830657,211.55660291162
2025-02-08,211.55660291162,218.05334144578632,209.76309682594683,217.83580943523802
2025-02-09,217.83580943523802,219.69402754684086,216.0782432754876,219.53547020965644
