,Open,High,Low,Close
2025-01-01,212.1452803279216,212.5985523891507,209.87016449009798,212.06175338960134
2025-01-02,212.06175338960134,213.45238097292045,211.60370111365728,212.4261153896331
2025-01-03,212.4261153896331,213.93537883053955,209.8324225141074,212.3844037943863
2025-01-04,212.3844037943863,217.83793988676854,210.331043343713,215.24417130656875
2025-01-05,215.24417130656875,216.3734959867937,213.6068079632581,214.3143426894963
2025-01-06,214.3143426894963,216.1683049028059,213.10987156919523,213.6549962064697
2025-01-07,213.6549962064697,217.95093031436065,211.5422855065878,216.56874393136388
2025-01-08,216.56874393136388,218.9853044291061,215.10175974407488,218.43433432644207
2025-01-09,218.43433432644207,219.68533365301533,216.2936476580292,217.51334816967275
2025-01-10,217.51334816967275,224.0708949696706,215.90372448842308,221.3145241293706
2025-01-11,221.3145241293706,224.28615510260025,218.8265682922782,222.92425158819597
2025-01-12,222.92425158819597,225.5035299110438,213.35508284056914,215.79276911141613
2025-01-13,215.79276911141613,218.4216388428206,215.05722591130322,216.76325248715986
2025-01-14,216.76325248715986,218.76041554374294,212.8425293985626,214.74326703344028
2025-01-15,214.74326703344028,216.6901341595557,210.69976583701484,212.10170528624067
2025-01-16,212.10170528624067,214.4793382356943,209.85353636301497,213.3688307969234
2025-01-17,213.3688307969234,213.71110455810015,207.11532755850635,208.61905093576405
2025-01-18,208.61905093576405,211.1314041655237,206.9446723343704,207.6790629775952
2025-01-19,207.6790629775952,210.0745774835544,201.45619899851073,203.41877485205947
2025-01-20,203.41877485205947,204.8277558905917,202.12497899991544,202.38011734502618
2025-01-21,202.38011734502618,204.46075073418828,201.55797270283975,203.36970482606594
2025-01-22,203.36970482606594,206.40084966861357,201.36757121366634,204.60466732510093
2025-01-23,204.60466732510093,209.2631517178832,204.1300272549016,207.22165926646804
2025-01-24,207.22165926646804,211.81312250557062,204.65878595501655,209.51608632773426
2025-01-25,209.51608632773426,212.20829604185923,207.93472495060277,211.25132505423593
2025-01-26,211.25132505423593,216.86867917617712,210.0342013081008,214.11278832517144
2025-01-27,214.11278832517144,216.13741219849,212.02478640788107,212.35048017357147
2025-01-28,212.35048017357147,217.679717736983,210.96327187228223,217.54099145772767
2025-01-29,217.54099145772767,219.50031367569514,216.9432390402514,219.07724650684207
2025-01-30,219.07724650684207,221.68020199181677,217.6440266200719,220.90368365270254
2025-01-31,220.90368365270254,222.3357703950066,218.02789999541528,219.68806766286667
2025-02-01,219.68806766286667,221.8709965901309,216.99648240767635,217.15203259675062
2025-02-02,217.15203259675062,218.77982919157924,208.36187993075265,210.77511904688205
2025-02-03,210.77511904688205,211.8616675801951,208.895055212596,211.48266484819928
2025-02-04,211.48266484819928,213.92226334308117,206.87709961598648,208.15733085610594
2025-02-05,208.15733085610594,209.12783041043488,203.41866557352705,205.19427178121694
2025-02-06,205.19427178121694,205.85477011650582,202.46438084238187,203.4377902518186
2025-02-07,203.4377902518186,203.7412402887301,199.5320686247148,201.1122999967835
2025-02-08,201.1122999967835,201.20475001795998,196.25797272846387,197.50246236284607
2025-02-09,197.50246236284607,198.63485356430044,192.71108404667692,195.4368122024056
